Step,Actual x,Actual y,Estimated x,Estimated y
1,10.001,0.0001,10.2784,0.550541
2,10.004,0.0004,10.5198,0.552248
3,10.009,0.0009,10.4748,0.559903
4,10.016,0.0016,10.56,0.441
5,10.025,0.0025,10.74,0.306397
6,10.036,0.0036,10.5958,0.44215
7,10.049,0.0049,10.4114,0.620061
8,10.064,0.0064,10.388,0.641479
9,10.081,0.0081,10.2763,0.655007
10,10.1,0.01,10.2639,0.663605
